region	ring	station	sector	layer	subsector	roll	nstrips_geom	nstrips_noise	eff_mean	eff_min	eff_max	n_dead	eta	phi	rawId
0	-2	2	11	1	1	1	90	90	0.950386	0.950386	0.950386	0	-0.845445	-1.08355	637568301
0	-2	2	11	1	1	3	90	90	0.973038	0.973038	0.973038	0	-1.01305	-1.08355	637633837
0	-2	2	11	2	1	1	84	84	0.969423	0.969423	0.969423	0	-0.770793	-1.08247	637570349
0	-2	2	11	2	1	2	84	84	0.95644	0.95644	0.95644	0	-0.8799	-1.08247	637603117
0	-2	2	11	2	1	3	84	84	0.972092	0.972092	0.972092	0	-0.986347	-1.08247	637635885
0	-2	2	12	1	1	1	90	90	0	0	0	90	-0.845445	-0.559948	637568429
0	-2	2	12	1	1	3	90	90	0	0	0	90	-1.01305	-0.559948	637633965
0	-2	2	12	2	1	1	84	84	0	0	0	84	-0.770793	-0.558869	637570477
0	-2	2	12	2	1	2	84	84	0	0	0	84	-0.8799	-0.558869	637603245
0	-2	2	12	2	1	3	84	84	0	0	0	84	-0.986347	-0.558869	637636013
0	-2	3	1	1	1	1	42	42	0.979963	0.979963	0.979963	0	-0.715282	-0.0937211	637567053
0	-2	3	1	1	2	1	42	42	0.968622	0.968622	0.968622	0	-0.710695	0.153885	637571149
0	-2	3	1	1	1	3	42	42	0.966633	0.966633	0.966633	0	-0.866442	-0.0937211	637632589
0	-2	3	1	1	2	3	42	42	0.957442	0.957442	0.957442	0	-0.861213	0.153885	637636685
0	-2	3	2	1	1	1	42	42	0.964872	0.964872	0.964872	0	-0.715282	0.429878	637567181
0	-2	3	2	1	2	1	42	42	0.926248	0.926248	0.926248	0	-0.710695	0.677483	637571277
0	-2	3	2	1	1	3	42	42	0.935134	0.935134	0.935134	0	-0.866442	0.429878	637632717
0	-2	3	2	1	2	3	42	42	0.968408	0.968408	0.968408	0	-0.861213	0.677483	637636813
0	-2	3	3	1	1	1	42	42	0.856475	0.856475	0.856475	0	-0.715282	0.953476	637567309
0	-2	3	3	1	2	1	42	42	0.873451	0.873451	0.873451	0	-0.710695	1.20108	637571405
0	-2	3	3	1	1	3	42	42	0.96918	0.96918	0.96918	0	-0.866442	0.953476	637632845
0	-2	3	3	1	2	3	42	42	0.957369	0.957369	0.957369	0	-0.861213	1.20108	637636941
0	-2	3	4	1	1	1	42	42	0.984542	0.984542	0.984542	0	-0.715282	1.47708	637567437
0	-2	3	4	1	2	1	42	42	0.972367	0.972367	0.972367	0	-0.710695	1.72468	637571533
0	-2	3	4	1	1	3	42	42	0.886067	0.886067	0.886067	0	-0.866442	1.47708	637632973
0	-2	3	4	1	2	3	42	42	0.925113	0.925113	0.925113	0	-0.861213	1.72468	637637069
0	-2	3	5	1	1	1	42	42	0.971736	0.971736	0.971736	0	-0.715282	2.00067	637567565
0	-2	3	5	1	2	1	42	42	0.949779	0.949779	0.949779	0	-0.710695	2.24828	637571661
0	-2	3	5	1	1	3	42	42	0.982319	0.982319	0.982319	0	-0.866442	2.00067	637633101
0	-2	3	5	1	2	3	42	42	0.972194	0.972194	0.972194	0	-0.861213	2.24828	637637197
0	-2	3	6	1	1	1	42	42	0.917272	0.917272	0.917272	0	-0.715282	2.52427	637567693
0	-2	3	6	1	2	1	42	42	0.96138	0.96138	0.96138	0	-0.710695	2.77188	637571789
0	-2	3	6	1	1	3	42	42	0.719921	0.719921	0.719921	0	-0.866442	2.52427	637633229
0	-2	3	6	1	2	3	42	42	0.716445	0.716445	0.716445	0	-0.861213	2.77188	637637325
0	-2	3	7	1	1	1	42	42	0.860714	0.860714	0.860714	0	-0.715282	3.04787	637567821
0	-2	3	7	1	2	1	42	42	0.978455	0.978455	0.978455	0	-0.710695	-2.98771	637571917
0	-2	3	7	1	1	3	42	42	0.95556	0.95556	0.95556	0	-0.866442	3.04787	637633357
0	-2	3	7	1	2	3	42	42	0.934224	0.934224	0.934224	0	-0.861213	-2.98771	637637453
0	-2	3	8	1	1	1	42	42	0.955157	0.955157	0.955157	0	-0.715282	-2.71171	637567949
0	-2	3	8	1	2	1	42	42	0.972157	0.972157	0.972157	0	-0.710695	-2.46411	637572045
0	-2	3	8	1	1	3	42	42	0.961441	0.961441	0.961441	0	-0.866442	-2.71171	637633485
0	-2	3	8	1	2	3	42	42	0.962735	0.962735	0.962735	0	-0.861213	-2.46411	637637581
0	-2	3	9	1	1	1	42	42	0.978485	0.978485	0.978485	0	-0.715282	-2.18812	637568077
0	-2	3	9	1	2	1	42	42	0.9534	0.9534	0.9534	0	-0.710695	-1.94051	637572173
0	-2	3	9	1	1	3	42	42	0.970329	0.970329	0.970329	0	-0.866442	-2.18812	637633613
0	-2	3	9	1	2	3	42	42	0.968754	0.968754	0.968754	0	-0.861213	-1.94051	637637709
0	-2	3	10	1	1	1	42	42	0.9634	0.9634	0.9634	0	-0.715282	-1.66452	637568205
0	-2	3	10	1	2	1	42	42	0.96914	0.96914	0.96914	0	-0.710695	-1.41691	637572301
0	-2	3	10	1	1	3	42	42	0.970527	0.970527	0.970527	0	-0.866442	-1.66452	637633741
0	-2	3	10	1	2	3	42	42	0.961507	0.961507	0.961507	0	-0.861213	-1.41691	637637837
0	-2	3	11	1	1	1	42	42	0.971406	0.971406	0.971406	0	-0.715282	-1.14092	637568333
